gameId,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameDateTimeEst,arenaCity,arenaState,arenaName,gameSequence,weekNumber,teamCity,teamName,teamId,opponentTeamCity,opponentTeamName,opponentTeamId,home,win,teamScore,opponentScore,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,numMinutes,q1Points,q2Points,q3Points,q4Points,benchPoints,biggestLead,biggestScoringRun,leadChanges,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsSecondChance,timesTied,timeoutsRemaining,seasonWins,seasonLosses,gameDate_int
22401193,Houston,Rockets,1610612745,Denver,Nuggets,1610612743,111,126,1610612743,Regular Season,18055.0,215,2025-04-13 15:30:00+00:00,Houston,TX,Toyota Center,8,25,Denver,Nuggets,1610612743,Houston,Rockets,1610612745,0,1,126,111,28.0,6.0,7.0,88.0,45.0,0.511,29.0,10.0,0.345,31.0,26.0,0.839,36.0,11.0,47.0,13.0,9.0,15.0,240.0,36.0,29.0,37.0,24.0,44.0,36.0,8.0,7.0,29.0,12.0,64.0,16.0,4.0,1.0,50.0,32.0,20250413
22401193,Houston,Rockets,1610612745,Denver,Nuggets,1610612743,111,126,1610612743,Regular Season,18055.0,215,2025-04-13 15:30:00+00:00,Houston,TX,Toyota Center,8,25,Houston,Rockets,1610612745,Denver,Nuggets,1610612743,1,0,111,126,32.0,4.0,5.0,100.0,45.0,0.45,34.0,12.0,0.353,14.0,9.0,0.643,29.0,16.0,45.0,24.0,10.0,-15.0,240.0,23.0,29.0,19.0,40.0,57.0,3.0,6.0,7.0,12.0,9.0,62.0,25.0,4.0,0.0,52.0,30.0,20250413
22401194,Memphis,Grizzlies,1610612763,Dallas,Mavericks,1610612742,132,97,1610612763,Regular Season,17794.0,242,2025-04-13 15:30:00+00:00,Memphis,TN,FedExForum,9,25,Dallas,Mavericks,1610612742,Memphis,Grizzlies,1610612763,0,0,97,132,20.0,3.0,6.0,87.0,38.0,0.437,28.0,5.0,0.179,22.0,16.0,0.727,28.0,10.0,38.0,13.0,18.0,-35.0,240.0,28.0,26.0,21.0,22.0,48.0,7.0,10.0,2.0,14.0,13.0,62.0,16.0,3.0,1.0,39.0,43.0,20250413
22401194,Memphis,Grizzlies,1610612763,Dallas,Mavericks,1610612742,132,97,1610612763,Regular Season,17794.0,242,2025-04-13 15:30:00+00:00,Memphis,TN,FedExForum,9,25,Memphis,Grizzlies,1610612763,Dallas,Mavericks,1610612742,1,1,132,97,31.0,7.0,13.0,104.0,52.0,0.5,40.0,15.0,0.375,15.0,13.0,0.867,34.0,19.0,53.0,15.0,11.0,35.0,240.0,38.0,29.0,37.0,28.0,36.0,41.0,13.0,2.0,36.0,24.0,68.0,17.0,3.0,1.0,48.0,34.0,20250413
22401195,Minnesota,Timberwolves,1610612750,Utah,Jazz,1610612762,116,105,1610612750,Regular Season,18978.0,61,2025-04-13 15:30:00+00:00,Minneapolis,MN,Target Center,10,25,Minnesota,Timberwolves,1610612750,Utah,Jazz,1610612762,1,1,116,105,23.0,9.0,9.0,98.0,46.0,0.469,43.0,13.0,0.302,16.0,11.0,0.688,37.0,17.0,54.0,16.0,13.0,11.0,240.0,30.0,20.0,40.0,26.0,36.0,18.0,11.0,11.0,15.0,10.0,62.0,24.0,3.0,1.0,49.0,33.0,20250413
22401195,Minnesota,Timberwolves,1610612750,Utah,Jazz,1610612762,116,105,1610612750,Regular Season,18978.0,61,2025-04-13 15:30:00+00:00,Minneapolis,MN,Target Center,10,25,Utah,Jazz,1610612762,Minnesota,Timberwolves,1610612750,0,0,105,116,24.0,5.0,6.0,89.0,40.0,0.449,42.0,16.0,0.381,11.0,9.0,0.818,31.0,9.0,40.0,15.0,13.0,-11.0,240.0,24.0,25.0,28.0,28.0,39.0,6.0,7.0,11.0,5.0,18.0,44.0,18.0,3.0,1.0,17.0,65.0,20250413
22401196,New Orleans,Pelicans,1610612740,Oklahoma City,Thunder,1610612760,100,115,1610612760,Regular Season,17761.0,160,2025-04-13 15:30:00+00:00,New Orleans,LA,Smoothie King Center,11,25,New Orleans,Pelicans,1610612740,Oklahoma City,Thunder,1610612760,1,0,100,115,22.0,4.0,6.0,91.0,35.0,0.385,38.0,7.0,0.184,30.0,23.0,0.767,36.0,11.0,47.0,19.0,12.0,-15.0,240.0,19.0,30.0,23.0,28.0,38.0,0.0,11.0,0.0,9.0,9.0,52.0,11.0,0.0,1.0,21.0,61.0,20250413
22401196,New Orleans,Pelicans,1610612740,Oklahoma City,Thunder,1610612760,100,115,1610612760,Regular Season,17761.0,160,2025-04-13 15:30:00+00:00,New Orleans,LA,Smoothie King Center,11,25,Oklahoma City,Thunder,1610612760,New Orleans,Pelicans,1610612740,0,1,115,100,16.0,4.0,8.0,98.0,41.0,0.418,47.0,9.0,0.191,27.0,24.0,0.889,37.0,17.0,54.0,25.0,10.0,15.0,240.0,38.0,26.0,26.0,25.0,40.0,23.0,9.0,0.0,13.0,17.0,60.0,21.0,0.0,1.0,68.0,14.0,20250413
22401197,San Antonio,Spurs,1610612759,Toronto,Raptors,1610612761,125,118,1610612759,Regular Season,18672.0,1000118,2025-04-13 15:30:00+00:00,San Antonio,TX,Frost Bank Center,12,25,San Antonio,Spurs,1610612759,Toronto,Raptors,1610612761,1,1,125,118,22.0,2.0,11.0,84.0,43.0,0.512,32.0,11.0,0.344,32.0,28.0,0.875,41.0,9.0,50.0,13.0,12.0,7.0,240.0,32.0,22.0,39.0,32.0,56.0,7.0,9.0,10.0,18.0,15.0,58.0,10.0,9.0,0.0,34.0,48.0,20250413
22401197,San Antonio,Spurs,1610612759,Toronto,Raptors,1610612761,125,118,1610612759,Regular Season,18672.0,1000118,2025-04-13 15:30:00+00:00,San Antonio,TX,Frost Bank Center,12,25,Toronto,Raptors,1610612761,San Antonio,Spurs,1610612759,0,0,118,125,32.0,1.0,8.0,97.0,46.0,0.474,39.0,14.0,0.359,16.0,12.0,0.75,30.0,12.0,42.0,23.0,13.0,-7.0,240.0,37.0,37.0,21.0,23.0,24.0,22.0,9.0,10.0,22.0,18.0,54.0,12.0,9.0,0.0,30.0,52.0,20250413
22401198,Golden State,Warriors,1610612744,Los Angeles,Clippers,1610612746,119,124,1610612746,Regular Season,18064.0,1000011,2025-04-13 15:30:00+00:00,San Francisco,CA,Chase Center,13,25,Golden State,Warriors,1610612744,Los Angeles,Clippers,1610612746,1,0,119,124,31.0,6.0,11.0,79.0,43.0,0.544,33.0,15.0,0.455,23.0,18.0,0.783,22.0,3.0,25.0,20.0,15.0,-5.0,265.0,33.0,25.0,24.0,29.0,16.0,12.0,15.0,23.0,14.0,23.0,50.0,6.0,8.0,0.0,48.0,34.0,20250413
22401198,Golden State,Warriors,1610612744,Los Angeles,Clippers,1610612746,119,124,1610612746,Regular Season,18064.0,1000011,2025-04-13 15:30:00+00:00,San Francisco,CA,Chase Center,13,25,Los Angeles,Clippers,1610612746,Golden State,Warriors,1610612744,0,1,124,119,28.0,3.0,11.0,86.0,48.0,0.558,30.0,14.0,0.467,18.0,14.0,0.778,33.0,9.0,42.0,21.0,16.0,5.0,265.0,25.0,35.0,23.0,28.0,8.0,7.0,10.0,23.0,6.0,20.0,54.0,14.0,8.0,0.0,50.0,32.0,20250413
